Sl,Height(cm),Weight(kg),Animal
1,24.6,4.0,Cat
2,18.8,4.2,Cat
3,18.9,5.5,Cat
4,21.0,5.3,Cat
5,19.5,6.0,Cat
6,20.8,4.1,Cat
7,21.0,5.8,Cat
8,20.8,4.7,Cat
9,22.2,4.6,Cat
10,18.2,5.2,Cat
11,22.2,5.5,Cat
12,19.0,5.0,Cat
13,23.5,5.7,Cat
14,21.6,5.4,Cat
15,19.6,5.7,Cat
16,21.3,5.1,Cat
17,18.8,5.8,Cat
18,24.2,4.3,Cat
19,19.8,5.2,Cat
20,18.8,5.6,Cat
21,21.9,5.3,Cat
22,20.8,4.8,Cat
23,23.5,5.7,Cat
24,23.8,5.6,Cat
25,21.4,4.8,Cat
26,19.9,5.4,Cat
27,19.9,5.7,Cat
28,22.6,4.4,Cat
29,22.3,5.2,Cat
30,18.6,6.0,Cat
31,21.8,5.2,Cat
32,18.2,4.7,Cat
33,24.9,5.2,Cat
34,20.9,5.8,Cat
35,20.5,5.5,Cat
36,21.4,4.8,Cat
37,22.3,4.5,Cat
38,24.3,5.8,Cat
39,29.7,14.1,Dog
40,31.7,8.8,Dog
41,37.0,14.6,Dog
42,31.2,8.9,Dog
43,31.0,12.8,Dog
44,31.3,14.1,Dog
45,38.8,12.1,Dog
46,28.8,10.4,Dog
47,28.5,14.5,Dog
48,37.2,10.9,Dog
49,35.9,10.4,Dog
50,35.8,14.0,Dog
51,39.2,13.4,Dog
52,33.0,12.0,Dog
53,33.9,13.7,Dog
54,38.8,12.8,Dog
55,30.1,9.3,Dog
56,31.5,8.1,Dog
57,35.5,10.1,Dog
58,32.3,14.8,Dog
59,38.2,10.8,Dog
60,28.0,14.7,Dog
61,39.3,10.4,Dog
62,35.0,14.4,Dog
63,39.9,14.2,Dog
64,29.5,13.7,Dog
65,35.7,8.1,Dog
66,29.9,8.4,Dog
67,31.9,13.8,Dog
68,34.3,12.9,Dog
69,39.7,8.8,Dog
70,33.8,11.5,Dog
71,40.0,13.9,Dog
72,33.1,11.0,Dog
73,32.5,12.1,Dog
74,35.9,9.7,Dog
75,28.1,9.3,Dog
76,34.0,12.7,Dog
77,291.1,5795.8,Elephant
78,309.3,4563.2,Elephant
79,347.8,5711.4,Elephant
80,316.0,4531.4,Elephant
81,346.6,2880.9,Elephant
82,263.4,2821.6,Elephant
83,323.6,3086.1,Elephant
84,328.2,2291.4,Elephant
85,278.4,5405.0,Elephant
86,369.1,3795.9,Elephant
87,355.6,3069.9,Elephant
88,316.8,5444.3,Elephant
89,318.5,4997.4,Elephant
90,336.8,4284.0,Elephant
91,395.4,5870.2,Elephant
92,387.6,5338.0,Elephant
93,336.8,4134.5,Elephant
94,392.4,5883.6,Elephant
95,375.7,4320.9,Elephant
96,360.2,2256.1,Elephant
97,255.9,5796.5,Elephant
98,302.4,5274.3,Elephant
99,340.2,5817.6,Elephant
100,317.2,3287.0,Elephant
101,398.1,5643.2,Elephant
102,388.2,5749.2,Elephant
103,363.6,3432.5,Elephant
104,282.2,2419.7,Elephant
105,265.4,5317.6,Elephant
106,358.8,2852.0,Elephant
107,312.9,3062.1,Elephant
108,285.1,4563.6,Elephant
109,283.7,2482.4,Elephant
110,338.9,2001.3,Elephant
111,357.0,5931.0,Elephant
112,349.5,3110.0,Elephant
113,286.0,3256.8,Elephant
114,388.7,2436.9,Elephant
115,14.1,0.8,Parrot
116,11.5,0.2,Parrot
117,13.1,1.1,Parrot
118,14.3,0.3,Parrot
119,10.6,0.1,Parrot
120,14.3,0.9,Parrot
121,13.5,0.3,Parrot
122,14.9,0.6,Parrot
123,14.2,0.6,Parrot
124,14.5,1.4,Parrot
125,10.7,0.4,Parrot
126,14.0,1.3,Parrot
127,11.2,0.9,Parrot
128,10.7,1.4,Parrot
129,14.0,1.3,Parrot
130,13.2,0.9,Parrot
131,10.6,0.7,Parrot
132,13.0,0.7,Parrot
133,13.3,0.2,Parrot
134,14.5,0.4,Parrot
135,14.9,0.7,Parrot
136,11.4,1.4,Parrot
137,13.8,1.1,Parrot
138,13.3,0.6,Parrot
139,10.6,0.7,Parrot
140,11.1,1.2,Parrot
141,13.0,0.3,Parrot
142,10.6,1.2,Parrot
143,13.2,0.9,Parrot
144,13.2,0.6,Parrot
145,14.2,0.9,Parrot
146,14.4,1.3,Parrot
147,10.8,0.6,Parrot
148,13.2,1.2,Parrot
149,15.0,0.3,Parrot
150,12.8,0.9,Parrot
151,14.2,0.8,Parrot
152,14.7,1.1,Parrot
