Sl,Height(cm),Weight(kg),Animal
1,358.8,2852.0,Elephant
2,283.7,2482.4,Elephant
3,10.6,1.2,Parrot
4,31.5,8.1,Dog
5,375.7,4320.9,Elephant
6,18.6,6.0,Cat
7,388.2,5749.2,Elephant
8,33.0,12.0,Dog
9,398.1,5643.2,Elephant
10,13.2,0.9,Parrot
11,18.8,5.6,Cat
12,278.4,5405.0,Elephant
13,21.3,5.1,Cat
14,31.9,13.8,Dog
15,21.4,4.8,Cat
16,21.8,5.2,Cat
17,14.0,1.3,Parrot
18,13.2,1.2,Parrot
19,340.2,5817.6,Elephant
20,18.8,5.8,Cat
21,34.0,12.7,Dog
22,19.8,5.2,Cat
23,23.5,5.7,Cat
24,18.2,5.2,Cat
25,18.2,4.7,Cat
26,14.7,1.1,Parrot
27,302.4,5274.3,Elephant
28,35.5,10.1,Dog
29,13.0,0.7,Parrot
30,265.4,5317.6,Elephant
31,13.8,1.1,Parrot
32,347.8,5711.4,Elephant
33,39.3,10.4,Dog
34,11.5,0.2,Parrot
35,18.9,5.5,Cat
36,14.5,1.4,Parrot
37,28.8,10.4,Dog
38,31.0,12.8,Dog
39,33.8,11.5,Dog
40,395.4,5870.2,Elephant
41,19.9,5.7,Cat
42,10.6,0.7,Parrot
43,323.6,3086.1,Elephant
44,255.9,5796.5,Elephant
45,10.8,0.6,Parrot
46,22.3,4.5,Cat
47,263.4,2821.6,Elephant
48,23.5,5.7,Cat
49,13.2,0.6,Parrot
50,34.3,12.9,Dog
51,14.1,0.8,Parrot
52,19.0,5.0,Cat
53,29.9,8.4,Dog
54,369.1,3795.9,Elephant
55,21.0,5.8,Cat
56,22.6,4.4,Cat
57,291.1,5795.8,Elephant
58,11.1,1.2,Parrot
59,11.2,0.9,Parrot
60,31.2,8.9,Dog
61,19.5,6.0,Cat
62,11.4,1.4,Parrot
63,24.9,5.2,Cat
64,10.7,1.4,Parrot
65,13.3,0.2,Parrot
66,39.7,8.8,Dog
67,22.2,5.5,Cat
68,360.2,2256.1,Elephant
69,338.9,2001.3,Elephant
70,24.6,4.0,Cat
71,14.3,0.9,Parrot
72,349.5,3110.0,Elephant
73,35.7,8.1,Dog
74,38.8,12.1,Dog
75,355.6,3069.9,Elephant
76,22.3,5.2,Cat
77,37.0,14.6,Dog
78,286.0,3256.8,Elephant
79,19.9,5.4,Cat
80,23.8,5.6,Cat
81,14.3,0.3,Parrot
82,316.0,4531.4,Elephant
83,31.7,8.8,Dog
84,392.4,5883.6,Elephant
85,30.5,11.2,Dog
86,38.6,8.2,Dog
87,14.9,0.7,Parrot
88,37.2,10.9,Dog
89,129.1,169.3,Cow
90,35.0,14.4,Dog
91,35.9,9.7,Dog
92,20.9,5.8,Cat
93,13.5,0.3,Parrot
94,10.6,0.1,Parrot
95,14.0,1.3,Parrot
96,39.9,14.2,Dog
97,20.8,4.2,Cat
98,15.0,0.3,Parrot
99,132.7,237.9,Cow
100,38.8,12.8,Dog
101,20.8,4.1,Cat
102,12.8,0.9,Parrot
103,10.7,0.4,Parrot
104,35.8,14.0,Dog
105,21.4,4.8,Cat
106,346.6,2880.9,Elephant
107,309.3,4563.2,Elephant
108,20.5,5.5,Cat
109,28.5,14.5,Dog
110,20.8,4.7,Cat
111,31.3,14.1,Dog
112,40.0,13.9,Dog
113,14.2,0.6,Parrot
114,357.0,5931.0,Elephant
115,387.6,5338.0,Elephant
116,328.2,2291.4,Elephant
117,14.2,0.9,Parrot
118,14.4,1.3,Parrot
119,336.8,4284.0,Elephant
120,22.2,4.6,Cat
121,388.7,2436.9,Elephant
122,21.6,5.4,Cat
123,28.0,14.7,Dog
124,13.3,0.6,Parrot
125,21.0,5.3,Cat
126,24.2,4.3,Cat
127,29.7,14.1,Dog
128,32.5,12.1,Dog
129,13.0,0.3,Parrot
130,14.5,0.4,Parrot
131,29.5,13.7,Dog
132,30.1,9.3,Dog
133,285.1,4563.6,Elephant
134,39.2,13.4,Dog
135,141.9,228.9,Cow
136,38.2,10.8,Dog
137,35.9,10.4,Dog
138,318.5,4997.4,Elephant
139,20.8,4.8,Cat
140,32.3,14.8,Dog
141,17.9,5.3,Cat
142,13.2,0.9,Parrot
143,24.3,5.8,Cat
144,14.2,0.8,Parrot
145,18.8,4.2,Cat
146,33.9,13.7,Dog
147,10.6,0.7,Parrot
148,282.2,2419.7,Elephant
149,317.2,3287.0,Elephant
150,13.1,1.1,Parrot
151,316.8,5444.3,Elephant
152,28.1,9.3,Dog
153,14.9,0.6,Parrot
154,34.2,9.4,Dog
155,21.9,5.3,Cat
156,33.1,11.0,Dog
157,312.9,3062.1,Elephant
158,19.6,5.7,Cat
159,336.8,4134.5,Elephant
160,363.6,3432.5,Elephant
